,Splice,DNA,USPS
Oracle,0.835 +- 0.01,0.879 +- 0.01,0.870 +- 0.01
SAL_23_01_16,0.808 +- 0.01,0.857 +- 0.02,0.865 +- 0.01
Coreset_Greedy,0.808 +- 0.01,0.853 +- 0.02,0.849 +- 0.01
MarginScore,0.806 +- 0.01,0.855 +- 0.02,0.864 +- 0.01
ShannonEntropy,0.808 +- 0.01,0.855 +- 0.02,0.864 +- 0.01
RandomAgent,0.797 +- 0.01,0.823 +- 0.02,0.831 +- 0.01
