,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.7374285714285714,0.7758571428571429,0.7772857142857142,0.725,0.6858571428571428,0.7507142857142857,0.6732857142857143,0.7312857142857143,0.7302857142857143,0.7237142857142858,0.7005714285714286,0.7314285714285714,0.7201428571428572,0.714,0.7465714285714286,0.7358571428571429,0.7237142857142858,0.7862857142857143,0.7105714285714285,0.6902857142857143,0.7147142857142857,0.7321428571428571,0.7538571428571429,0.6835714285714286,0.723,0.7475714285714286,0.7507142857142857,0.6978571428571428,0.7991428571428572,0.7461428571428571,0.7355714285714285,0.7574285714285715,0.7561428571428571,0.7832857142857143,0.773,0.7704285714285715,0.7217142857142858,0.7762857142857142,0.7278571428571429,0.7145714285714285,0.7122857142857143,0.7324285714285714,0.738,0.7531428571428571,0.6302857142857143,0.7167142857142857,0.7252857142857143,0.7361428571428571,0.6994285714285714,0.7481428571428571
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.7844285714285715,0.7721428571428571,0.7997142857142857,0.7492857142857143,0.7228571428571429,0.7461428571428571,0.7045714285714286,0.7362857142857143,0.7975714285714286,0.7617142857142857,0.7444285714285714,0.775,0.7475714285714286,0.7132857142857143,0.76,0.7314285714285714,0.7418571428571429,0.7765714285714286,0.7102857142857143,0.7167142857142857,0.7611428571428571,0.7707142857142857,0.7902857142857143,0.7521428571428571,0.722,0.784,0.7625714285714286,0.7378571428571429,0.788,0.7514285714285714,0.7622857142857142,0.7597142857142857,0.7842857142857143,0.777,0.7592857142857142,0.7488571428571429,0.7637142857142857,0.7841428571428571,0.7464285714285714,0.7288571428571429,0.7285714285714285,0.7895714285714286,0.7605714285714286,0.7628571428571429,0.6798571428571428,0.7177142857142857,0.6934285714285714,0.693,0.6967142857142857,0.7582857142857143
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
