,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.7014989256858826,0.8791089057922363,0.6679770946502686,0.7548860907554626,0.8947535157203674,0.7204577922821045,0.7688217759132385,0.6678850650787354,0.7268764972686768,0.6744934320449829,0.7102715969085693,0.7134182453155518,0.7509356737136841,0.7969942688941956,0.6715689897537231,0.6754825711250305,0.7684054374694824,0.6845106482505798,0.7149451971054077,0.756086528301239,0.7900986671447754,0.8113823533058167,0.6807122230529785,0.6796991229057312,0.6817629933357239,0.6525532007217407,0.6997460126876831,0.6573454141616821
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.7737374305725098,0.6098979711532593,0.6292239427566528,0.7890372276306152,0.7362712621688843,0.6267865896224976,0.622073233127594,0.6209726929664612,0.6685060858726501,0.903232216835022,0.7714082598686218,0.6653826832771301,0.6798417568206787,0.7169148325920105,0.9175954461097716,0.6662184000015259,0.8131173849105835,0.5841574668884277,0.6672409772872925,0.664638340473175,0.7049375176429749,0.8253095149993896,0.6221266388893127,0.6633667945861816,0.6977089047431946,0.6248486042022705,0.7200525403022766,0.5553286671638489
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
