,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
0,0.5696551724137932,0.4845977011494253,0.5563218390804597,0.5177011494252873,0.5057471264367817,0.5590804597701149,0.4781609195402299,0.5531034482758621,0.48,0.5029885057471264,0.5213793103448275,0.495632183908046,0.488735632183908,0.6372413793103449,0.5452873563218391,0.504367816091954,0.5420689655172414,0.6170114942528736,0.5636781609195403,0.5186206896551724,0.503448275862069,0.4974712643678161,0.6105747126436781,0.5466666666666666,0.4914942528735632,0.5825287356321839,0.5563218390804597,0.5563218390804597,0.5052873563218391,0.4979310344827586,0.5737931034482758,0.6133333333333333,0.5259770114942529,0.5066666666666667,0.5273563218390804,0.5609195402298851,0.5006896551724138,0.5227586206896552,0.5236781609195402,0.5158620689655172,0.6142528735632183,0.5011494252873563,0.4832183908045977,0.5222988505747126,0.4804597701149425,0.519080459770115,0.5025287356321839,0.4767816091954023,0.480919540229885,0.5705747126436782,0.5443678160919541,0.5094252873563219,0.5751724137931035,0.5462068965517242,0.4933333333333333,0.4818390804597701,0.5641379310344827,0.5259770114942529,0.5333333333333333,0.480919540229885,0.5126436781609195,0.5075862068965518,0.4767816091954023,0.5659770114942528,0.5264367816091954,0.5177011494252873,0.6096551724137931,0.6068965517241379,0.5462068965517242,0.5443678160919541,0.4832183908045977,0.4551724137931034,0.5126436781609195,0.5577011494252874,0.5144827586206897,0.4777011494252873,0.4924137931034483,0.5816091954022988,0.5668965517241379,0.4850574712643678,0.4910344827586207,0.5025287356321839,0.5213793103448275,0.5903448275862069,0.5981609195402299,0.4767816091954023,0.535632183908046,0.4951724137931034,0.5659770114942528,0.5797701149425287,0.5057471264367817,0.488735632183908,0.4924137931034483,0.592183908045977,0.4777011494252873,0.5756321839080459,0.5429885057471264,0.5232183908045978,0.5071264367816092,0.4937931034482758,0.4790804597701149,0.5756321839080459,0.4804597701149425,0.4616091954022988,0.480919540229885,0.4933333333333333,0.4882758620689655,0.6041379310344828,0.4662068965517241
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
