agent,Splice,DNA,USPS,Cifar10,FashionMnist,TopV2,News,Unencoded,Encoded
Oracle,1.0,1.0,1.0,4.23,2.73,2.94,1.0,1.99,3.53
Margin,6.66,4.2,2.08,5.68,1.0,1.86,2.68,3.45,3.72
Badge,4.64,6.2,2.92,3.6,5.09,2.84,2.48,3.97,4.28
BALD,7.18,4.58,5.3,10.6,6.57,7.08,3.84,6.45,6.82
CoreGCN,9.74,4.84,9.44,6.68,5.86,3.62,5.44,6.52,7.25
LSA,7.54,6.62,5.18,4.4,9.5,6.9,5.96,6.59,6.31
DSA,12.14,7.12,7.12,3.7,4.99,5.46,5.94,6.64,6.29
Entropy,8.36,3.82,7.2,6.78,4.59,9.04,8.22,6.86,5.35
Random,12.32,9.02,5.2,5.1,3.12,7.36,6.6,6.96,6.37
Coreset,9.66,8.78,9.56,7.28,9.58,7.86,9.42,8.88,6.36
TypiClust,12.06,9.82,11.0,5.24,9.66,11.0,10.62,9.91,9.7
