,agent,Cifar10,FashionMnist
auc,Margin,0.556+-0.008,0.882+-0.004
auc,Badge,0.56+-0.008,0.883+-0.005
auc,LeastConfident,0.591+-0.01,0.884+-0.005
auc,DSA,0.56+-0.009,0.882+-0.004
auc,BALD,0.478+-0.014,0.878+-0.003
auc,CoreGCN,0.553+-0.01,0.88+-0.007
auc,Entropy,0.553+-0.009,0.882+-0.006
auc,LSA,0.558+-0.01,0.866+-0.005
auc,Random,0.557+-0.01,0.863+-0.005
auc,Coreset,0.553+-0.007,0.878+-0.006
auc,TypiClust,0.557+-0.009,0.864+-0.004
