agent,Splice,DNA,USPS,Cifar10,FashionMnist,TopV2,News,Unencoded,Encoded
Oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9
Margin,3.9,4.2,2.1,4.4,2.9,2.4,2.7,3.2,3.9
Badge,3.0,6.2,2.9,3.4,3.2,3.3,2.5,3.5,4.9
DSA,7.1,7.1,7.1,3.6,3.5,5.7,5.9,5.7,6.2
BALD,3.9,4.6,5.3,10.1,5.8,7.2,3.8,5.8,6.9
CoreGCN,6.6,4.8,9.4,5.7,4.8,4.0,5.4,5.8,7.7
Entropy,6.4,3.8,7.2,5.7,3.4,9.1,8.2,6.3,6.0
LSA,5.8,6.6,5.2,5.8,8.7,7.0,6.0,6.4,6.9
Random,8.6,9.0,5.2,6.5,9.2,7.4,6.6,7.5,6.4
Coreset,6.8,8.8,9.6,4.9,5.3,8.0,9.4,7.5,6.6
TypiClust,8.3,9.8,11.0,6.0,9.1,11.0,10.6,9.4,8.6
