agent,Splice,DNA,USPS,Cifar10,FashionMnist,TopV2,News,Unencoded,Encoded
Oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.1
Margin,7.2,3.6,2.0,6.8,4.0,2.8,3.2,4.2,4.8
Badge,5.2,6.0,3.0,6.4,4.6,2.6,4.0,4.5,5.1
DSA,6.8,7.6,6.2,5.4,5.4,5.8,8.4,6.5,7.0
LeastConfident,7.6,11.8,9.0,2.2,4.0,8.2,2.8,6.5,7.2
BALD,3.6,3.8,6.6,12.0,8.2,7.0,5.0,6.6,6.9
CoreGCN,7.0,5.8,10.4,9.2,7.0,3.6,6.0,7.0,8.3
Entropy,7.2,4.4,7.4,7.6,4.4,11.0,9.6,7.4,6.6
LSA,8.0,7.2,5.0,6.4,11.0,7.8,7.0,7.5,7.4
Random,7.8,8.4,4.8,8.2,10.8,8.0,8.0,8.0,6.6
Coreset,6.2,9.2,10.6,4.6,7.0,8.2,11.0,8.1,6.8
TypiClust,10.4,9.2,12.0,8.2,10.6,12.0,12.0,10.6,9.2
