,agent,USPSEncoded,Cifar10Encoded,FashionMnistEncoded
auc,Margin,0.363+-0.031,0.64+-0.013,0.653+-0.01
auc,Badge,0.376+-0.028,0.632+-0.013,0.649+-0.011
auc,LeastConfident,0.291+-0.03,0.644+-0.013,0.65+-0.011
auc,DSA,0.346+-0.027,0.624+-0.014,0.588+-0.016
auc,BALD,0.241+-0.026,0.65+-0.009,0.645+-0.01
auc,CoreGCN,0.328+-0.027,0.581+-0.015,0.568+-0.018
auc,Entropy,0.275+-0.026,0.633+-0.011,0.625+-0.012
auc,LSA,0.341+-0.029,0.613+-0.012,0.625+-0.01
auc,Random,0.379+-0.028,0.615+-0.014,0.621+-0.01
auc,Coreset,0.325+-0.034,0.624+-0.012,0.608+-0.013
auc,TypiClust,0.348+-0.027,0.451+-0.024,0.375+-0.022
