agent,Splice,DNA,USPS,Cifar10,FashionMnist,TopV2,News,Unencoded,Encoded
Oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.2
Margin,7.0,4.8,2.0,6.0,3.8,3.0,4.0,4.4,4.2
Badge,5.4,6.6,3.0,7.0,3.8,3.4,3.8,4.7,5.1
DSA,7.0,6.6,7.4,6.0,6.0,6.0,6.0,6.4,6.8
BALD,3.0,4.6,5.4,12.0,7.2,8.2,5.0,6.5,8.0
LeastConfident,8.8,11.8,8.4,2.4,4.6,6.8,2.6,6.5,6.6
CoreGCN,8.6,4.6,10.8,6.4,7.4,3.4,7.0,6.9,7.8
LSA,6.4,6.2,4.6,7.0,10.2,8.8,7.2,7.2,7.6
Entropy,8.8,4.2,8.2,7.0,4.8,9.2,10.0,7.5,6.2
Random,8.2,9.2,5.0,8.6,11.4,7.2,8.6,8.3,7.0
Coreset,5.8,8.6,10.2,8.6,6.4,9.0,10.8,8.5,7.4
TypiClust,8.0,9.8,12.0,6.0,11.4,12.0,12.0,10.2,9.1
