agent,Splice,DNA,USPS,Cifar10,FashionMnist,TopV2,News,Unencoded,Encoded
Oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4
Margin,6.0,3.3,2.0,5.7,2.0,2.0,4.3,3.6,3.8
Badge,6.0,9.0,3.0,3.0,5.7,3.7,3.3,4.8,4.9
CoreGCN,4.3,6.3,10.3,7.3,5.3,5.7,5.3,6.4,8.1
DSA,8.7,7.3,7.3,6.0,4.3,5.3,6.0,6.4,6.5
BALD,4.7,4.0,4.7,12.0,7.3,6.7,6.7,6.6,7.5
Entropy,6.7,4.7,7.7,5.3,5.0,7.3,9.3,6.6,6.8
LeastConfident,7.7,10.0,8.3,3.3,6.0,8.7,3.0,6.7,7.3
LSA,7.7,5.3,6.0,9.0,11.0,9.0,7.3,7.9,7.5
Random,9.3,8.0,5.0,8.7,11.7,8.3,8.7,8.5,7.6
Coreset,6.0,10.7,10.7,8.0,8.3,8.3,11.0,9.0,6.3
TypiClust,10.0,8.3,12.0,8.7,10.3,12.0,12.0,10.5,9.4
