,DivergingSin
Oracle,0.948 $\pm$ 0.20
ShannonEntropy,0.936 $\pm$ 0.20
TypiClust,0.930 $\pm$ 0.20
MarginScore,0.929 $\pm$ 0.20
RandomAgent,0.919 $\pm$ 0.19
Badge,0.914 $\pm$ 0.20
Coreset_Greedy,0.914 $\pm$ 0.20
BALD,0.661 $\pm$ 0.17
