,TopV2,News
Oracle,0.861 +- 0.01,0.502 +- 0.00
BALD,0.831 +- 0.01,0.421 +- 0.01
MarginScore,0.821 +- 0.01,0.427 +- 0.01
Badge,0.826 +- 0.01,0.420 +- 0.01
Coreset_Greedy,0.822 +- 0.02,0.415 +- 0.01
ShannonEntropy,0.800 +- 0.03,0.416 +- 0.01
RandomAgent,0.786 +- 0.02,0.409 +- 0.01
TypiClust,0.804 +- 0.02,0.385 +- 0.01
