,agent,SpliceEncoded,DNAEncoded,USPSEncoded,Cifar10Encoded,FashionMnistEncoded
auc,Margin,0.662+-0.032,0.611+-0.05,0.508+-0.02,0.656+-0.014,0.678+-0.009
auc,Badge,0.646+-0.035,0.624+-0.036,0.48+-0.021,0.647+-0.012,0.67+-0.009
auc,LeastConfident,0.643+-0.034,0.585+-0.065,0.478+-0.028,0.67+-0.01,0.681+-0.009
auc,DSA,0.653+-0.029,0.613+-0.034,0.489+-0.024,0.661+-0.013,0.662+-0.012
auc,BALD,0.641+-0.034,0.592+-0.054,0.332+-0.054,0.681+-0.011,0.681+-0.013
auc,CoreGCN,0.662+-0.027,0.62+-0.03,0.45+-0.03,0.604+-0.016,0.609+-0.013
auc,Entropy,0.66+-0.03,0.611+-0.054,0.464+-0.024,0.663+-0.013,0.672+-0.011
auc,LSA,0.654+-0.032,0.61+-0.041,0.484+-0.022,0.617+-0.012,0.641+-0.011
auc,Random,0.655+-0.026,0.623+-0.031,0.476+-0.024,0.616+-0.016,0.637+-0.012
auc,Coreset,0.663+-0.023,0.603+-0.034,0.449+-0.022,0.657+-0.009,0.674+-0.009
auc,TypiClust,0.641+-0.028,0.603+-0.04,0.465+-0.027,0.596+-0.014,0.567+-0.012
