,batch_size,hidden_sizes,lr,weight_decay,response
25,55,"(15, 31)",0.00454138560840778,0,[0.84386206]
18,51,"(13, 27, 41)",0.00721281322916206,0,[0.84312642]
169,30,"(44, 88)",0.00550362677424499,4.80461789944673E-08,[0.84239078]
136,205,"(91, 45, 30, 22, 18)",0.0475880472143921,9.64885172792018E-07,[0.84183908]
82,71,"(35,)",0.00122868608622791,0,[0.84137928]
19,12,"(100, 200)",0.00422660299641672,0,[0.84128737]
56,69,"(18,)",0.00223359717959998,4.13736252932238E-08,[0.84027588]
54,12,"(100, 200, 300)",0.0138423558312442,0,[0.83981609]
73,39,"(100, 200)",0.00994346582347838,4.30011301147068E-08,[0.83871263]
20,16,"(100, 200)",0.0121597525174821,0,[0.83733332]
2,12,"(99, 199)",0.0295820370177171,0,[0.83714944]
160,12,"(100, 200, 300)",0.0500000023672556,0,[0.83705747]
153,14,"(100, 200)",0.0115309613933783,0,[0.83668965]
165,180,"(47, 23, 15, 11)",0.0481683226158016,7.36856101083038E-07,[0.83521837]
1,256,"(89, 44, 29, 22)",0.0480564767315475,9.99999997475243E-07,[0.83393103]
96,45,"(42, 85)",0.00543967859935582,0,[0.83126438]
35,244,"(78, 39, 26, 19, 15)",0.0498053851643423,8.74619898972065E-07,[0.83043677]
129,32,"(49, 99)",0.00561389502953627,0,[0.82841378]
16,12,"(100, 200)",0.0144862698420958,0,[0.82758623]
151,62,"(97,)",0.00144229043554411,0,[0.82280457]
180,12,"(100, 200, 300)",0.00993010645397025,0,[0.82142526]
57,12,"(100, 200, 300)",0.00772443588043509,0,[0.82004595]
49,12,"(100,)",0.0139378569579126,0,[0.8197701]
27,55,"(32, 64)",0.00827650469157026,0,[0.81673563]
166,216,"(69, 34, 23, 17)",0.0475186926335671,7.42686269792378E-07,[0.81664366]
144,256,"(100, 50, 33, 25, 20)",0.0500000023672556,9.99999997475243E-07,[0.81443679]
103,256,"(100, 50, 33)",0.0497616421883476,9.99999997475243E-07,[0.81351721]
175,149,"(100, 50, 33, 25)",0.0480001931885146,9.99999997475243E-07,[0.81324136]
48,62,"(47, 94, 141)",0.00475833771618495,0,[0.80845976]
39,90,"(15, 30)",0.00402550652536854,0,[0.80836779]
174,30,"(84, 169)",0.00557135529829952,0,[0.80487359]
118,12,"(100,)",0.0290498496842086,2.38839212619852E-27,[0.80386209]
86,12,"(100,)",0.0106020966725373,0,[0.80377012]
14,30,"(52, 104)",0.0102414309479772,2.85840301518426E-10,[0.79770112]
94,32,"(83, 166, 249)",0.0298949670798068,0,[0.76229882]
21,12,"(75, 151)",0.0111918050658235,7.03405493957095E-09,[0.7565977]
60,52,"(100, 200, 300)",0.0137030461647799,0,[0.75402302]
184,12,"(10, 20, 30, 40, 50)",0.047111514607461,9.99999997475243E-07,[0.74795401]
11,64,"(23,)",9.99999997475243E-07,0,[0.5652414]
13,66,"(25, 50)",9.99999997475243E-07,0,[0.52588505]
3,73,"(6, 12)",9.99999997475243E-07,0,[0.52211493]
29,54,"(15, 31)",9.99999997475243E-07,0,[0.50289655]
