,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,11.733438968658447,11.08715009689331,10.886255979537964,11.345062971115112,10.93272089958191,11.546117305755615,10.987858057022097,11.438186883926392,10.643654823303224,11.120843887329102,11.719945907592772,10.740453720092772,11.012359619140623,11.11883020401001,10.834434986114502,11.10949182510376,11.57030963897705,12.088399648666382,11.14590573310852,11.315134763717651,11.495843887329102,10.994733333587646,11.567646503448486,11.46692180633545,11.2027428150177,11.623883247375488,10.899396657943726,11.425779104232788,11.635329723358154,11.260740995407104,11.2439546585083,11.1756751537323,10.622089147567747,10.551405429840088,11.2688570022583,11.338474035263062,11.34895133972168,11.386961460113524,11.3387610912323,11.03734302520752,11.2394757270813,11.057773113250732,10.844988346099854,11.13798999786377,11.676611423492432,11.424315690994264,11.15987515449524,10.91619873046875,10.921677112579346,11.423318147659302
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11.273849725723268,10.709734916687012,10.506853580474854,11.15004539489746,10.552870988845823,11.174768924713137,10.483093023300173,11.227455377578735,10.154655814170836,10.919511556625366,11.42799425125122,10.58768916130066,10.781022310256958,9.942011833190918,10.435221672058104,10.757651567459106,11.480990648269652,11.381311178207396,10.14799678325653,11.186643123626707,11.392353057861328,10.738353252410889,10.87279176712036,10.79210352897644,10.49942421913147,11.907276153564451,10.487896203994753,11.34422206878662,11.118244886398315,11.155192375183104,11.07925534248352,10.619428396224976,10.482439756393433,10.057164907455444,10.694077968597412,10.814936637878418,10.515007257461548,11.062373876571655,10.261620998382568,10.81194829940796,10.833843231201172,10.771774530410768,10.459513187408447,10.704361200332642,11.494001865386965,11.020264625549316,11.052919387817385,10.52370548248291,10.849963903427124,11.074140787124634
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11.120630741119385,10.10400664806366,10.534725427627563,10.947885274887083,10.647031545639038,10.628141164779665,10.451739072799684,10.761510372161863,9.590492367744446,10.57774543762207,11.348013639450071,10.38538897037506,10.414660930633543,9.60804557800293,9.821658968925476,10.788641929626465,11.159154653549194,11.0153489112854,10.026889562606812,10.654563426971436,10.775609731674194,10.741941928863524,10.408371925354004,10.637468338012695,10.515637397766112,11.250580310821531,10.051690459251404,11.226567029953005,10.703646183013916,10.687037110328674,11.086288690567017,10.409176230430605,10.52328372001648,9.76431941986084,10.559619903564451,10.492158651351929,10.295608520507812,10.403576850891112,9.838377833366394,10.719783306121826,10.858905553817747,10.115371823310852,10.220397710800173,10.559855222702026,11.115318059921265,10.783320426940918,10.918715238571169,10.214813351631165,10.859545946121216,10.240015506744385
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10.745522260665894,9.778141021728516,10.261696577072144,10.082785487174988,10.189381003379822,9.759217381477356,10.297065138816832,10.36933445930481,9.3710755109787,10.487255573272703,10.989070653915403,9.829646468162537,10.0282723903656,9.15416944026947,9.625703573226929,10.854668378829956,10.550042867660522,10.551896810531616,10.035954713821411,10.345787286758425,10.406714916229248,10.488678216934204,10.606012344360352,10.449708223342896,10.30483055114746,11.265416145324709,9.591929078102112,10.821332693099976,10.58929181098938,10.556034326553345,10.629153966903688,9.94353437423706,10.509185791015623,9.47032868862152,9.675662279129028,10.05550217628479,9.96300184726715,9.910542964935305,9.87596559524536,10.371021509170532,10.401182055473328,9.703739523887634,9.679041385650637,10.32797920703888,10.945079565048218,10.40551781654358,10.97237992286682,10.048951029777529,10.535610675811768,10.184392213821411
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,10.259236812591553,9.764196395874023,9.99905562400818,9.526111364364624,9.987625241279602,9.510857462882996,10.06108808517456,10.029225707054138,9.59710156917572,10.513383150100708,10.505443096160889,9.357830882072449,9.544007182121277,9.080892205238342,9.69426453113556,10.213240265846252,10.074187636375427,10.613280296325684,9.494783759117126,10.148074746131895,9.964240550994871,10.273266315460203,10.416924357414246,10.217416524887083,10.065512657165527,11.363584280014038,9.421775221824646,10.247681498527529,10.24403977394104,10.348715901374815,10.791627645492554,9.71920084953308,10.238450169563292,9.049915313720703,9.43827486038208,9.49812126159668,9.653668522834778,9.460893511772156,9.823873400688171,10.120125651359558,10.45386528968811,9.231565833091736,9.635096311569214,9.861405849456789,10.732291460037231,9.905139327049255,10.758585929870604,9.907107830047607,10.18127191066742,10.03492307662964
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9.881383419036863,9.68403446674347,9.502786993980408,9.301782608032228,10.025668621063232,9.06317913532257,9.822571635246277,10.02232539653778,9.267271399497986,10.130098342895508,10.072980046272278,9.546022176742554,9.331971526145937,8.679607391357422,9.24432909488678,10.16370940208435,9.897367238998411,10.39785635471344,9.500436305999756,10.02526330947876,9.666775226593018,9.565261244773865,10.205516695976256,10.150056958198547,10.05401873588562,11.061190605163574,9.31787621974945,10.038097620010376,9.994914531707764,9.862026691436768,10.431204080581663,9.421762228012083,10.001739859580994,8.530212163925171,9.19586217403412,9.227885603904724,9.40876030921936,8.923256754875183,9.844858288764954,9.860172629356384,10.29472529888153,9.12309741973877,9.58311688899994,9.683692336082458,10.619085311889648,9.661046266555786,10.541070103645325,9.58470380306244,10.15912127494812,9.812506914138794
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,9.817261934280396,9.670934438705444,9.056789755821228,8.961276888847351,9.894721627235413,8.752562165260315,9.826863884925842,9.787570238113403,8.968227744102478,9.795777082443236,9.87053120136261,9.271798849105837,9.198642253875732,8.660529017448425,9.189533233642578,9.910011172294617,9.254380345344543,10.169273018836977,8.974135875701904,9.599279761314392,9.570757150650024,9.401868343353271,9.882088780403135,9.78287935256958,9.557629227638245,10.769282579421995,9.028405785560608,9.643343687057495,9.751774549484251,9.5825012922287,9.85404634475708,9.14877736568451,9.936402320861816,8.501180410385132,9.1292405128479,9.367639660835266,9.385032415390016,8.525346159934998,9.460431098937988,9.64184832572937,9.7576003074646,9.054719090461733,9.347845077514648,9.246923923492432,10.406982421875,9.546396136283876,10.442704439163208,9.25000500679016,9.925962328910828,9.73156440258026
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,9.032684206962584,9.601014256477356,8.922062397003174,8.865278482437134,9.809085488319395,8.446309924125671,9.625845670700071,9.52759611606598,8.730870366096497,9.574551463127136,9.760111212730408,9.329890131950378,9.109534859657288,8.402633309364319,9.018108248710632,9.937857627868652,9.077929973602297,9.960516691207886,8.975313782691956,9.346911072731018,9.623561978340147,9.182535648345947,9.812743067741394,9.426921248435974,8.850646615028381,10.431485652923584,8.969614624977112,9.126152515411375,9.69663691520691,9.449295282363892,9.764185070991516,9.13031542301178,9.356203198432922,8.105539321899414,8.962418794631958,9.197175145149233,9.07408332824707,8.401585459709167,8.979424476623535,9.438778042793274,9.637960076332092,8.876457571983337,9.26784360408783,8.9401695728302,10.303077936172484,9.7275128364563,10.24395716190338,9.061397790908812,9.631207704544067,9.39993977546692
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8.657925724983215,9.371950626373293,8.811018705368042,8.75453519821167,9.45210027694702,8.47164237499237,9.39984381198883,9.407665252685549,8.396829724311829,9.191260576248167,9.748743653297424,9.323804497718813,8.849777936935425,8.423946976661682,8.803072333335876,9.455823302268982,8.628733038902283,9.757656455039978,8.940009117126465,9.287693977355955,9.223208785057068,8.91723120212555,9.802221179008484,9.189736008644104,8.907778143882751,10.13147246837616,8.749749183654785,8.970977306365967,9.500460028648376,9.324218392372131,9.6201434135437,8.94005537033081,9.301808714866638,7.9763219356536865,8.732783317565918,9.052384734153748,8.940399408340454,8.205012083053589,8.843756318092346,9.42596447467804,9.368906259536743,8.966961026191711,8.979658246040344,9.062138438224792,9.586594939231873,9.65258491039276,9.974194288253784,9.000873565673828,9.769862055778503,9.17004120349884
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,8.547520637512207,8.945300579071045,8.748392701148987,8.540481090545654,9.039772629737854,8.44402539730072,9.152095675468445,9.502785325050354,8.631641864776611,8.839001893997192,9.62537717819214,9.230990886688232,8.51080048084259,8.428426742553711,8.282902836799622,9.06131136417389,8.373903512954712,9.579749584197998,8.739735007286072,9.1428781747818,8.986236453056335,8.984831690788269,9.753791451454164,9.013604640960692,8.59195625782013,9.933035969734192,8.730939626693726,8.874532103538513,9.062037348747252,9.038729429244995,9.11648678779602,8.685786485671997,8.884960651397705,7.696592569351196,8.492411375045776,8.96211302280426,8.441933155059814,7.831272959709167,8.76810348033905,9.150429964065552,9.10732352733612,8.792819857597351,9.042440176010132,8.997812032699585,9.268034100532532,9.559656023979189,9.74748158454895,8.962942719459534,9.476362466812134,9.097403407096865
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,8.584632754325867,8.572623252868652,8.703200697898865,8.413528084754944,8.855376958847046,8.08012330532074,8.568631529808044,9.44515073299408,8.452995538711548,8.914143800735474,9.44290316104889,8.924670457839966,8.262215733528137,8.485483288764954,8.04422640800476,8.984276413917542,8.201526403427124,9.589569091796877,8.552251815795898,8.946261763572693,8.829463958740234,8.778605818748474,9.69039821624756,9.057478070259094,8.485954284667969,9.721908330917358,8.551922678947449,8.841522097587585,8.683557987213135,8.817589163780212,8.972095489501953,8.341643810272217,8.803748607635498,7.498851656913757,8.50616180896759,9.046451568603516,8.32132077217102,7.75568687915802,8.518529176712036,8.831568479537964,9.034615159034727,8.260701537132263,8.995189666748047,8.891629457473755,9.017380356788635,9.566019773483276,9.88698387145996,8.877298474311829,9.367074847221376,8.796982526779175
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
