,0,1,2,3,4,5,6
0,0.2112,0.2052,0.1784,0.2758,0.2504,0.249,0.2326
1,0.2442,0.2208,0.2074,0.2844,0.265,0.2748,0.2642
2,0.2644,0.2308,0.2054,0.297,0.2648,0.2912,0.2752
3,0.2658,0.2392,0.2082,0.3112,0.2674,0.2934,0.2886
4,0.2736,0.256,0.2146,0.312,0.2696,0.3206,0.2836
5,0.2954,0.2604,0.2438,0.3024,0.2734,0.3394,0.2846
6,0.3072,0.2664,0.246,0.3072,0.28,0.3524,0.2922
7,0.3064,0.2748,0.2448,0.3148,0.2738,0.3674,0.3084
8,0.3144,0.2806,0.2526,0.3118,0.2838,0.3676,0.314
9,0.3166,0.2772,0.2686,0.3038,0.2892,0.3766,0.31
10,0.326,0.2838,0.2732,0.302,0.3042,0.3792,0.318
11,0.3264,0.284,0.2708,0.3046,0.3166,0.3806,0.3056
12,0.3426,0.2886,0.2876,0.3044,0.3224,0.3842,0.3184
13,0.3534,0.3052,0.2948,0.2996,0.3236,0.385,0.3254
14,0.3616,0.3016,0.3,0.296,0.3196,0.3842,0.3358
15,0.3652,0.302,0.3014,0.3092,0.3316,0.3918,0.3342
16,0.372,0.3098,0.3258,0.3208,0.3342,0.392,0.3372
17,0.3744,0.3142,0.325,0.3266,0.3408,0.3968,0.3412
18,0.378,0.3354,0.3262,0.3376,0.3514,0.3998,0.3374
19,0.3924,0.341,0.3442,0.3402,0.3532,0.3994,0.3348
20,0.3918,0.3626,0.347,0.3484,0.3568,0.3982,0.3316
21,0.3944,0.3656,0.3566,0.3476,0.3608,0.3988,0.3376
22,0.4024,0.3644,0.363,0.3672,0.3642,0.4046,0.333
23,0.4034,0.3596,0.3676,0.3762,0.3722,0.4148,0.3256
24,0.406,0.3636,0.3726,0.3706,0.3792,0.4146,0.3266
25,0.4152,0.3768,0.377,0.3884,0.3822,0.4152,0.3258
26,0.4364,0.3942,0.3742,0.3944,0.381,0.4288,0.3262
27,0.433,0.3986,0.3752,0.4004,0.3868,0.4294,0.3214
28,0.4274,0.4004,0.3776,0.419,0.4002,0.4306,0.3242
29,0.4294,0.4006,0.3866,0.4174,0.4076,0.4474,0.3466
30,0.423,0.4122,0.3922,0.4192,0.4116,0.456,0.3526
31,0.423,0.4158,0.396,0.42,0.417,0.4588,0.3548
32,0.4324,0.4172,0.4038,0.4216,0.4184,0.4566,0.3548
33,0.4396,0.4212,0.4076,0.4356,0.4308,0.4576,0.354
34,0.4402,0.436,0.406,0.4362,0.4294,0.4664,0.3732
35,0.437,0.434,0.4146,0.4416,0.4354,0.4786,0.3742
36,0.4504,0.4414,0.414,0.451,0.4336,0.4844,0.3774
37,0.454,0.449,0.4136,0.4494,0.4378,0.4814,0.401
38,0.453,0.4552,0.4106,0.4566,0.4472,0.4856,0.4012
39,0.4654,0.4548,0.4118,0.4508,0.4516,0.488,0.4026
40,0.4672,0.4634,0.4196,0.4458,0.4494,0.493,0.4186
41,0.4748,0.4674,0.4194,0.4532,0.4504,0.4932,0.422
42,0.475,0.4708,0.4356,0.4598,0.4588,0.4898,0.4274
43,0.481,0.4756,0.4314,0.4728,0.456,0.4968,0.436
44,0.4794,0.4756,0.436,0.4768,0.4546,0.4994,0.4372
45,0.4784,0.4838,0.4362,0.4834,0.4542,0.5068,0.4472
46,0.489,0.4914,0.446,0.488,0.4588,0.5132,0.4608
47,0.4964,0.4862,0.4478,0.4894,0.4722,0.5152,0.4752
48,0.5004,0.4852,0.4502,0.4908,0.478,0.5178,0.4808
49,0.5006,0.4878,0.4488,0.496,0.4822,0.5202,0.484
50,0.4982,0.4896,0.4516,0.501,0.4906,0.5198,0.4866
51,0.4992,0.4948,0.4556,0.5052,0.4972,0.525,0.4882
52,0.507,0.4978,0.4612,0.5138,0.5026,0.5384,0.4886
53,0.5058,0.503,0.4584,0.517,0.5094,0.542,0.4924
54,0.5072,0.513,0.4598,0.525,0.5134,0.5412,0.5014
55,0.511,0.5162,0.4602,0.521,0.5116,0.5426,0.5118
56,0.514,0.5182,0.4578,0.5222,0.508,0.5456,0.5124
57,0.516,0.5158,0.4632,0.5278,0.508,0.549,0.5136
58,0.5208,0.5272,0.4654,0.5274,0.5108,0.5516,0.511
59,0.5252,0.5222,0.4686,0.5354,0.512,0.5552,0.5118
60,0.5294,0.5202,0.4668,0.54,0.516,0.5542,0.5062
61,0.5388,0.5212,0.4664,0.546,0.516,0.5548,0.506
62,0.5374,0.5268,0.4648,0.5504,0.5136,0.56,0.5076
63,0.5482,0.5286,0.471,0.5648,0.5204,0.5666,0.5108
64,0.5448,0.5312,0.4734,0.5724,0.525,0.573,0.5132
65,0.5504,0.5352,0.4812,0.5706,0.5248,0.571,0.5162
66,0.5478,0.5362,0.4836,0.5756,0.5278,0.5722,0.5126
67,0.5514,0.5378,0.4878,0.5774,0.5302,0.5726,0.5214
68,0.5526,0.5378,0.489,0.5796,0.5302,0.5738,0.5234
69,0.5504,0.5388,0.4838,0.5812,0.5278,0.569,0.5258
70,0.5502,0.5416,0.4806,0.5842,0.5298,0.5778,0.521
71,0.5496,0.5522,0.4844,0.5882,0.5314,0.585,0.529
72,0.5446,0.55,0.4934,0.5892,0.5334,0.5826,0.5324
73,0.5466,0.5526,0.4994,0.5916,0.5354,0.5806,0.5392
74,0.5448,0.5542,0.5042,0.5942,0.536,0.5896,0.5418
75,0.551,0.555,0.5074,0.6,0.5386,0.5924,0.558
76,0.5594,0.5514,0.5154,0.6018,0.5416,0.5918,0.559
77,0.5608,0.5546,0.5198,0.606,0.5394,0.5944,0.5462
78,0.5602,0.557,0.5202,0.6114,0.54,0.592,0.5526
79,0.5716,0.5606,0.531,0.6098,0.5464,0.5894,0.5552
80,0.5722,0.5628,0.5318,0.6146,0.5474,0.5954,0.5562
81,0.5746,0.5686,0.5336,0.6154,0.5502,0.5966,0.5726
82,0.5766,0.5712,0.5342,0.616,0.553,0.594,0.5716
83,0.5748,0.5726,0.5366,0.6194,0.555,0.5928,0.5758
84,0.5846,0.5692,0.5346,0.621,0.5538,0.5978,0.5688
85,0.5848,0.5706,0.5314,0.6214,0.5574,0.6018,0.5754
86,0.5858,0.5748,0.532,0.624,0.5604,0.6016,0.5664
87,0.5852,0.579,0.5342,0.6236,0.5588,0.6066,0.5602
88,0.589,0.5818,0.5332,0.6262,0.5626,0.6088,0.563
89,0.5844,0.579,0.5376,0.6276,0.572,0.6118,0.5608
90,0.5918,0.5908,0.539,0.6282,0.5758,0.6132,0.5604
91,0.5972,0.5904,0.551,0.6268,0.5788,0.61,0.5704
92,0.5954,0.5886,0.5486,0.6342,0.5828,0.61,0.573
93,0.591,0.5936,0.5488,0.632,0.5884,0.6156,0.5726
94,0.5916,0.5996,0.55,0.6336,0.5958,0.6166,0.5772
95,0.5918,0.5958,0.5572,0.6332,0.5968,0.6184,0.5826
96,0.5984,0.5966,0.5618,0.629,0.604,0.6182,0.5848
97,0.6012,0.593,0.5644,0.6304,0.6068,0.6184,0.5928
98,0.6082,0.5926,0.5676,0.6294,0.6064,0.6182,0.5962
99,0.6108,0.592,0.5682,0.6296,0.6072,0.6264,0.5986
100,0.6186,0.5934,0.571,0.6328,0.6056,0.6284,0.609
101,0.6168,0.608,0.5774,0.6312,0.6066,0.6288,0.6088
102,0.619,0.6128,0.5738,0.6328,0.6152,0.632,0.6132
103,0.6226,0.6184,0.5748,0.6344,0.6236,0.6304,0.6094
104,0.625,0.6208,0.5752,0.6354,0.624,0.6282,0.6106
105,0.6258,0.6208,0.5768,0.6338,0.623,0.6334,0.611
106,0.6274,0.6246,0.5796,0.6346,0.6232,0.6306,0.608
107,0.6282,0.621,0.5824,0.6384,0.6272,0.6284,0.6126
108,0.6292,0.6252,0.584,0.6384,0.6302,0.6328,0.6174
