,0,1,2
199,0.9775,0.9575,0.9775
200,0.9775,0.955,0.98
201,0.975,0.96,0.98
202,0.9775,0.955,0.98
203,0.9825,0.9575,0.9775
204,0.9775,0.9575,0.9775
205,0.98,0.9575,0.9775
206,0.9775,0.9525,0.98
207,0.98,0.9575,0.9775
208,0.9775,0.9525,0.9775
209,0.98,0.9525,0.9775
210,0.98,0.9525,0.9775
211,0.9725,0.9525,0.98
212,0.9725,0.95,0.9775
213,0.975,0.95,0.9775
214,0.9725,0.9525,0.9775
215,0.9725,0.9575,0.98
216,0.9775,0.9575,0.9775
217,0.98,0.955,0.9775
218,0.9625,0.9575,0.9775
219,0.98,0.9575,0.9775
220,0.9725,0.95,0.9775
221,0.9725,0.9525,0.98
222,0.9775,0.9525,0.98
223,0.9725,0.9525,0.9775
224,0.9725,0.9525,0.9775
225,0.98,0.9525,0.98
226,0.9775,0.9525,0.98
227,0.97,0.9525,0.9775
228,0.9725,0.9525,0.9775
229,0.975,0.9525,0.98
230,0.98,0.9525,0.9775
231,0.97,0.955,0.9775
232,0.975,0.9525,0.98
233,0.97,0.9525,0.9775
234,0.9775,0.9525,0.98
235,0.9725,0.9525,0.9775
236,0.975,0.9575,0.9775
237,0.9775,0.9525,0.9775
238,0.98,0.955,0.98
239,0.9775,0.9525,0.98
240,0.975,0.9525,0.98
241,0.9775,0.9525,0.9775
242,0.975,0.9525,0.98
243,0.97,0.9525,0.9775
244,0.97,0.9525,0.98
245,0.9775,0.9525,0.9775
246,0.975,0.955,0.98
247,0.9775,0.95,0.9775
248,0.9775,0.9575,0.9775
249,0.9775,0.9525,0.9775
250,0.97,0.9525,0.98
251,0.9775,0.9525,0.98
252,0.9775,0.9525,0.98
253,0.9775,0.955,0.9775
254,0.9675,0.95,0.98
255,0.9675,0.9525,0.9775
256,0.9775,0.9525,0.9775
257,0.9775,0.9525,0.9775
258,0.9775,0.9525,0.9775
259,0.9775,0.9525,0.9775
260,0.9775,0.95,0.98
261,0.9775,0.9525,0.9775
262,0.9775,0.9525,0.98
263,0.975,0.9525,0.9775
264,0.9775,0.9525,0.9775
265,0.975,0.9525,0.9775
266,0.9775,0.9525,0.9775
267,0.9775,0.9525,0.9775
268,0.9775,0.95,0.9775
269,0.9775,0.95,0.9775
270,0.9775,0.95,0.98
271,0.9775,0.95,0.9775
272,0.9775,0.95,0.9775
273,0.9775,0.95,0.9775
274,0.9725,0.95,0.98
275,0.98,0.95,0.9775
276,0.9775,0.95,0.9775
277,0.975,0.95,0.9775
278,0.9825,0.9525,0.9775
279,0.9775,0.95,0.9775
280,0.9775,0.95,0.98
281,0.97,0.95,0.98
282,0.97,0.95,0.9775
283,0.98,0.95,0.98
284,0.9725,0.95,0.98
285,0.9725,0.95,0.9775
286,0.9725,0.95,0.9775
287,0.9725,0.95,0.9775
288,0.975,0.95,0.9775
289,0.975,0.95,0.9775
290,0.97,0.95,0.98
291,0.9725,0.95,0.9775
292,0.975,0.95,0.9775
293,0.975,0.95,0.9775
294,0.975,0.95,0.9775
