,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.5489655172413793,0.4804597701149425,0.5963218390804598,0.504367816091954,0.4836781609195402,0.568735632183908,0.480919540229885,0.5967816091954024,0.5103448275862069,0.5241379310344828,0.5204597701149425,0.5213793103448275,0.4859770114942529,0.495632183908046,0.5903448275862069,0.5117241379310344,0.5144827586206897,0.5760919540229885,0.5342528735632184,0.4804597701149425,0.5213793103448275,0.4882758620689655,0.5485057471264367,0.5839080459770115,0.5314942528735632,0.592183908045977,0.5158620689655172,0.6027586206896551,0.5126436781609195,0.4827586206896552
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.593103448275862,0.6809195402298851,0.662528735632184,0.5572413793103448,0.5972413793103448,0.7066666666666667,0.6487356321839081,0.6464367816091954,0.6160919540229886,0.6050574712643678,0.5645977011494253,0.5912643678160919,0.5558620689655173,0.6252873563218391,0.5645977011494253,0.5967816091954024,0.5678160919540229,0.7006896551724138,0.6845977011494253,0.5485057471264367,0.5742528735632184,0.5052873563218391,0.6588505747126436,0.6289655172413793,0.5834482758620689,0.672183908045977,0.5659770114942528,0.6933333333333334,0.534712643678161,0.5949425287356321
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.6611494252873563,0.6767816091954023,0.6988505747126437,0.6220689655172413,0.6735632183908046,0.7466666666666667,0.7103448275862069,0.7167816091954023,0.6685057471264367,0.6735632183908046,0.6147126436781609,0.6445977011494253,0.5806896551724138,0.68,0.6174712643678161,0.6409195402298851,0.6735632183908046,0.7370114942528736,0.7416091954022989,0.6583908045977012,0.6280459770114942,0.6266666666666667,0.6855172413793104,0.6845977011494253,0.6386206896551724,0.7333333333333333,0.6183908045977011,0.7429885057471264,0.5485057471264367,0.6928735632183908
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.6786206896551724,0.7273563218390805,0.7374712643678161,0.6358620689655172,0.712183908045977,0.7636781609195402,0.7604597701149425,0.7333333333333333,0.7255172413793104,0.7085057471264368,0.6740229885057472,0.6910344827586207,0.6206896551724138,0.7296551724137931,0.6767816091954023,0.6648275862068965,0.7250574712643678,0.7645977011494253,0.7526436781609196,0.6919540229885057,0.670344827586207,0.6960919540229885,0.7172413793103448,0.7452873563218391,0.663448275862069,0.744367816091954,0.6648275862068965,0.767816091954023,0.600919540229885,0.7273563218390805
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
