,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
100,0.8437142857142857,0.8535714285714285,0.8682857142857143,0.8765714285714286,0.8068571428571428,0.8414285714285714,0.8338571428571429,0.8532857142857143,0.8057142857142857,0.8331428571428572,0.8652857142857143,0.865,0.7822857142857143,0.8345714285714285,0.8494285714285714,0.832,0.8431428571428572,0.8337142857142857,0.856,0.8441428571428572,0.8298571428571428,0.8084285714285714,0.8662857142857143,0.7971428571428572,0.8414285714285714,0.8497142857142858,0.8448571428571429,0.8281428571428572,0.8408571428571429,0.8584285714285714,0.8524285714285714,0.8348571428571429,0.8305714285714285,0.8651428571428571,0.849,0.8381428571428572,0.8147142857142857,0.8617142857142858,0.8495714285714285,0.8361428571428572,0.825,0.858,0.8618571428571429,0.8522857142857143,0.8494285714285714,0.8534285714285714,0.8515714285714285,0.8644285714285714,0.8477142857142858,0.862
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,0.8661428571428571,0.8567142857142858,0.8782857142857143,0.8845714285714286,0.8262857142857143,0.8315714285714285,0.859,0.8592857142857143,0.8301428571428572,0.8432857142857143,0.8794285714285714,0.8568571428571429,0.867,0.8552857142857143,0.8504285714285714,0.8452857142857143,0.8442857142857143,0.8611428571428571,0.8684285714285714,0.8447142857142858,0.8604285714285714,0.8258571428571428,0.8738571428571429,0.8381428571428572,0.8597142857142858,0.8627142857142858,0.8532857142857143,0.8214285714285714,0.8822857142857143,0.8547142857142858,0.8638571428571429,0.8387142857142857,0.8437142857142857,0.883,0.8595714285714285,0.8512857142857143,0.7812857142857143,0.8631428571428571,0.8782857142857143,0.856,0.8394285714285714,0.8725714285714286,0.863,0.873,0.8591428571428571,0.8545714285714285,0.8517142857142858,0.8748571428571429,0.8644285714285714,0.8577142857142858
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.8855714285714286,0.8741428571428571,0.8751428571428571,0.8854285714285715,0.8684285714285714,0.8567142857142858,0.8655714285714285,0.8774285714285714,0.8667142857142857,0.8565714285714285,0.8932857142857142,0.8755714285714286,0.8732857142857143,0.8605714285714285,0.8511428571428571,0.8622857142857143,0.8577142857142858,0.8734285714285714,0.8695714285714286,0.8561428571428571,0.8672857142857143,0.8468571428571429,0.8814285714285715,0.8488571428571429,0.87,0.8595714285714285,0.8674285714285714,0.8364285714285714,0.8817142857142857,0.8607142857142858,0.871,0.8527142857142858,0.8517142857142858,0.8797142857142857,0.8754285714285714,0.8654285714285714,0.8652857142857143,0.881,0.8784285714285714,0.8601428571428571,0.8465714285714285,0.8795714285714286,0.8777142857142857,0.8637142857142858,0.8647142857142858,0.8647142857142858,0.8661428571428571,0.8771428571428571,0.8744285714285714,0.8785714285714286
