,Agent,Acc,Improvement,AUC
0,Coreset_Greedy,0.8788 +- 0.0105,0.3778 +- 0.0332,0.8246 +- 0.0108
1,MarginScore,0.8849 +- 0.0112,0.3825 +- 0.0269,0.8309 +- 0.0141
2,SAR_23_01_16,0.8824 +- 0.0150,0.3771 +- 0.0308,0.8314 +- 0.0127
3,SAR_23_01_12,0.8839 +- 0.0142,0.3802 +- 0.0312,0.8339 +- 0.0118
4,RandomAgent,0.8744 +- 0.0144,0.3639 +- 0.0314,0.8152 +- 0.0129
5,MarginScoreSGD,0.8655 +- 0.0190,0.3675 +- 0.0282,0.7392 +- 0.0331
6,SAR,0.8747 +- 0.0165,0.3735 +- 0.0352,0.8136 +- 0.0135
7,ShannonEntropy,0.8822 +- 0.0156,0.3777 +- 0.0258,0.8285 +- 0.0154
8,SAR_24_12,0.8747 +- 0.0165,0.3735 +- 0.0352,0.8136 +- 0.0135
9,Oracle,0.8806 +- 0.0141,0.3405 +- 0.0323,0.8530 +- 0.0132
