,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
29,,,,,0.368,,,,,,,,,,,,,0.4186,,,,,0.4276,,,,0.3452
30,,,,,0.3606,,,,,,,,,,,,,0.3236,,,,,0.4108,,,,0.349
31,,,,,0.3646,,,,,,,,,,,,,0.3606,,,,,0.4168,,,,0.3756
32,,,,,0.3484,,,,,,,,,,,,,0.4162,,,,,0.496,,,,0.3692
33,,,,,0.3408,,,,,,,,,,,,,0.4078,,,,,0.49,,,,0.377
34,,,,,0.3282,,,,,,,,,,,,,0.3962,,,,,0.4964,,,,0.3716
35,,,,,0.401,,,,,,,,,,,,,0.4108,,,,,0.5226,,,,0.2748
36,,,,,0.4098,,,,,,,,,,,,,0.4518,,,,,0.5228,,,,0.3672
37,,,,,0.3998,,,,,,,,,,,,,0.4428,,,,,0.5454,,,,0.3572
38,,,,,0.3734,,,,,,,,,,,,,0.4442,,,,,0.519,,,,0.3466
39,,,,,0.3722,,,,,,,,,,,,,0.4762,,,,,0.544,,,,0.3616
40,,,,,0.4036,,,,,,,,,,,,,0.49,,,,,0.5504,,,,0.3628
41,,,,,0.405,,,,,,,,,,,,,0.4984,,,,,0.5404,,,,0.36
42,,,,,0.4304,,,,,,,,,,,,,0.5024,,,,,0.5126,,,,0.3664
43,,,,,0.4258,,,,,,,,,,,,,0.5386,,,,,0.5152,,,,0.3872
44,,,,,0.2518,,,,,,,,,,,,,0.2478,,,,,0.4832,,,,0.3602
45,,,,,0.1036,,,,,,,,,,,,,0.1736,,,,,0.5426,,,,0.3828
46,,,,,0.5762,,,,,,,,,,,,,0.505,,,,,0.572,,,,0.3748
47,,,,,0.5836,,,,,,,,,,,,,0.5156,,,,,0.4858,,,,0.3822
48,,,,,0.3102,,,,,,,,,,,,,0.5372,,,,,0.5366,,,,0.4042
49,,,,,0.5816,,,,,,,,,,,,,0.5304,,,,,0.5476,,,,0.4572
50,,,,,0.5586,,,,,,,,,,,,,0.5216,,,,,0.593,,,,0.4406
51,,,,,0.561,,,,,,,,,,,,,0.5252,,,,,0.5568,,,,0.4654
52,,,,,0.5692,,,,,,,,,,,,,0.5292,,,,,0.6034,,,,0.486
53,,,,,0.5666,,,,,,,,,,,,,0.5116,,,,,0.6004,,,,0.4886
54,,,,,0.565,,,,,,,,,,,,,0.513,,,,,0.603,,,,0.4794
