,0,1,2,3,4,5,6,7,8,9
0,0.77,0.545,0.945,0.165,0.51,0.57,0.605,0.495,0.5,0.51
1,0.545,0.745,0.635,0.21,0.51,0.8,0.515,0.495,0.66,0.51
2,0.765,0.71,0.975,0.23,0.68,0.725,0.615,0.495,0.655,0.51
3,0.865,0.81,0.89,0.235,0.795,0.635,0.76,0.495,0.715,0.51
4,0.845,0.8,0.985,0.265,0.795,0.745,0.83,0.495,0.725,0.51
5,0.795,0.9,0.955,0.32,0.815,0.77,0.81,0.495,0.7,0.51
6,0.915,0.905,0.995,0.345,0.825,0.815,0.87,0.495,0.7,0.51
7,0.995,0.865,0.96,0.38,0.83,0.855,0.8,0.495,0.715,0.51
8,0.995,0.96,0.99,0.415,0.845,0.88,0.84,0.495,0.72,0.51
9,0.985,0.945,0.995,0.44,0.845,0.92,0.905,0.495,0.78,0.51
10,1.0,0.98,0.99,0.48,0.85,0.98,0.93,0.495,0.845,0.51
11,0.985,0.99,0.995,0.52,0.84,0.985,0.93,0.495,0.915,0.51
12,0.995,0.975,0.995,0.56,0.83,0.995,0.97,0.495,0.955,0.51
13,0.985,0.98,0.995,0.575,0.825,0.97,0.965,0.495,0.95,0.51
14,0.995,0.995,0.995,0.575,0.815,0.985,0.99,0.495,0.99,0.51
15,0.985,0.985,0.995,0.575,0.81,0.995,0.995,0.495,0.98,0.51
16,0.97,0.96,0.995,0.575,0.805,1.0,0.995,0.495,0.97,0.51
17,0.985,0.965,0.995,0.575,0.795,1.0,0.995,0.495,0.965,0.51
18,0.99,0.975,0.995,0.575,0.79,1.0,0.995,0.495,0.975,0.51
19,0.985,0.985,0.995,0.58,0.855,1.0,0.995,0.495,0.99,0.51
20,0.99,0.99,0.995,0.58,0.885,0.995,0.995,0.495,0.98,0.51
21,1.0,0.985,0.995,0.58,0.895,1.0,0.995,0.495,0.99,0.51
22,0.99,0.99,0.995,0.58,0.915,1.0,0.995,0.495,1.0,0.51
23,1.0,0.985,0.995,0.58,0.92,1.0,0.995,0.495,1.0,0.51
24,0.99,0.985,0.995,0.58,0.935,1.0,0.995,0.495,1.0,0.51
25,0.985,0.985,0.995,0.58,0.955,1.0,0.985,0.495,0.995,0.51
26,0.985,0.985,0.995,0.58,0.99,1.0,0.99,0.495,1.0,0.51
27,0.985,0.985,0.995,0.58,1.0,1.0,0.995,0.495,1.0,0.51
28,0.985,0.99,1.0,0.58,0.985,1.0,0.995,0.495,1.0,0.51
29,0.985,0.99,0.995,0.58,0.995,1.0,0.995,0.495,0.995,0.51
30,0.985,0.985,0.995,0.58,0.995,1.0,0.995,0.495,0.99,0.51
31,0.99,0.99,0.995,0.58,1.0,1.0,0.995,0.495,0.995,0.51
32,0.99,0.985,1.0,0.58,1.0,1.0,0.995,0.495,0.995,0.51
33,0.995,0.985,1.0,0.58,1.0,1.0,0.995,0.495,0.99,0.51
34,0.985,0.985,1.0,0.58,1.0,1.0,0.995,0.495,0.99,0.51
35,0.99,0.985,0.995,0.58,1.0,1.0,0.995,0.495,0.99,0.51
36,0.985,0.985,1.0,0.58,1.0,1.0,0.995,0.495,1.0,0.51
37,0.985,0.99,0.995,0.58,1.0,1.0,0.995,0.495,1.0,0.51
38,0.985,0.99,1.0,0.58,1.0,1.0,0.99,0.495,1.0,0.51
39,0.99,0.985,1.0,0.58,1.0,1.0,0.99,0.495,1.0,0.51
40,0.995,0.985,1.0,0.58,1.0,1.0,0.995,0.495,1.0,0.51
41,0.99,0.985,1.0,0.58,1.0,1.0,0.99,0.495,1.0,0.51
42,0.99,0.985,1.0,0.58,1.0,0.995,0.99,0.495,1.0,0.51
43,0.99,0.985,1.0,0.58,1.0,1.0,0.99,0.495,1.0,0.51
44,0.99,0.985,1.0,0.58,1.0,1.0,0.99,0.495,1.0,0.51
45,0.99,0.985,1.0,0.58,1.0,1.0,0.99,0.495,1.0,0.51
46,0.99,0.985,1.0,0.58,1.0,1.0,0.99,0.495,1.0,0.51
47,0.99,0.985,0.995,0.58,1.0,1.0,0.99,0.495,1.0,0.51
48,0.99,0.99,0.995,0.58,1.0,1.0,0.99,0.495,1.0,0.51
49,0.99,0.99,0.995,0.58,1.0,1.0,0.99,0.495,1.0,0.51
50,0.985,0.99,0.995,0.58,1.0,1.0,0.99,0.495,1.0,0.51
