,0,1
0,0.2076,0.2508
1,0.2154,0.2688
2,0.2184,0.2944
3,0.2354,0.2978
4,0.2434,0.3002
5,0.251,0.302
6,0.2646,0.3092
7,0.2666,0.3132
8,0.272,0.316
9,0.2994,0.3182
10,0.3006,0.319
11,0.3048,0.3214
12,0.3308,0.3262
13,0.3348,0.329
14,0.3424,0.3404
15,0.3438,0.341
16,0.3476,0.341
17,0.3526,0.3466
18,0.3586,0.3476
19,0.3652,0.3528
20,0.3658,0.3606
21,0.3712,0.3732
22,0.3714,0.3908
23,0.3708,0.3918
24,0.3778,0.3954
25,0.3896,0.3962
26,0.39,0.4042
27,0.3918,0.4106
28,0.3926,0.4138
29,0.3994,0.4164
30,0.3986,0.4278
31,0.4122,0.4324
32,0.4324,0.434
33,0.4376,0.4428
34,0.44,0.4472
35,0.4452,0.4456
36,0.4562,0.4436
37,0.4562,0.4426
38,0.466,0.4418
39,0.467,0.44
40,0.4664,0.4462
41,0.4684,0.4476
42,0.4718,0.4478
43,0.4718,0.4488
44,0.4714,0.4516
45,0.4702,0.4562
46,0.4704,0.4548
47,0.4706,0.4554
48,0.4744,0.4546
49,0.4748,0.4606
50,0.4784,0.462
51,0.481,0.4628
52,0.4866,0.467
53,0.4864,0.4674
54,0.4866,0.4696
55,0.4862,0.481
56,0.4878,0.4828
57,0.4888,0.4822
58,0.49,0.4872
59,0.4892,0.4878
60,0.4892,0.4922
61,0.491,0.499
62,0.4896,0.4992
63,0.4906,0.5002
64,0.4958,0.4994
65,0.4952,0.5042
66,0.4952,0.5158
67,0.4932,0.5194
68,0.4924,0.5194
69,0.494,0.52
70,0.4982,0.5202
71,0.4982,0.5246
72,0.5006,0.529
73,0.5002,0.5292
74,0.5018,0.5318
75,0.5036,0.5338
76,0.5046,0.5328
77,0.5052,0.535
78,0.5084,0.537
79,0.5092,0.5382
80,0.518,0.539
81,0.5228,0.5406
82,0.5232,0.5514
83,0.5262,0.552
84,0.5338,0.5518
85,0.5454,0.5522
86,0.5502,0.5524
87,0.5518,0.5508
88,0.5504,0.5502
89,0.5502,0.5516
90,0.5482,0.5506
91,0.5478,0.5534
92,0.5498,0.5622
93,0.5512,0.5646
94,0.5514,0.5644
95,0.5506,0.564
96,0.5522,0.5698
97,0.5544,0.5746
98,0.5606,0.5824
99,0.5638,0.5876
100,0.5638,0.5898
101,0.5642,0.5894
102,0.5646,0.5964
103,0.566,0.5976
104,0.5674,0.5988
105,0.5668,0.599
106,0.5672,0.6028
107,0.5656,0.6034
108,0.5706,0.6038
109,0.5692,0.6042
110,0.5694,0.6046
111,0.5702,0.6046
112,0.572,0.6108
113,0.5734,0.6122
114,0.5744,0.6126
115,0.5746,0.6128
116,0.5818,0.6144
117,0.5814,0.6146
118,0.5834,0.6142
119,0.5866,0.6136
120,0.586,0.6158
121,0.59,0.6166
122,0.5908,0.6164
123,0.5904,0.6164
124,0.5912,0.6172
125,0.592,0.6226
126,0.5934,0.6286
127,0.5944,0.629
128,0.5952,0.6318
129,0.6008,0.6318
130,0.6008,0.6314
131,0.6026,0.632
132,0.605,0.6328
133,0.6048,0.6328
134,0.6036,0.6334
135,0.604,0.6328
136,0.6036,0.6326
137,0.606,0.634
138,0.6064,0.639
139,0.6072,0.6392
140,0.6074,0.6396
141,0.608,0.6394
142,0.6082,0.639
