,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.665907621383667,0.7144699692726135,0.6486756205558777,0.643775224685669,0.642564594745636,0.6772725582122803,0.6555869579315186,0.6835315227508545,0.701378345489502,0.6878303289413452,0.6460807919502258,0.655759871006012,0.6401185393333435,0.6337876319885254,0.6835413575172424,0.6737285852432251,0.6534019708633423,0.6928598284721375,0.674685537815094,0.6798943281173706,0.6691692471504211,0.6807953715324402,0.6754055023193359,0.659572958946228,0.6525055766105652,0.653217613697052,0.6655883193016052,0.6498242020606995,0.6619254350662231,0.7092724442481995,0.6708338260650635,0.6675069332122803,0.6398392915725708,0.6536222100257874,0.6620328426361084,0.6377115845680237,0.6806196570396423,0.6583263278007507,0.6594259142875671,0.6700418591499329,0.665675938129425,0.6816678643226624,0.6836864948272705,0.656829833984375,0.7110106945037842,0.6757899522781372,0.64178866147995,0.646157443523407,0.6643177270889282,0.673205554485321
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.63669753074646,0.6788093447685242,0.6333932876586914,0.6291705965995789,0.6278113722801208,0.651076078414917,0.6398431658744812,0.6573836803436279,0.6734483242034912,0.6783775091171265,0.6263699531555176,0.6308331489562988,0.6238908171653748,0.6253409385681152,0.6753031015396118,0.659115731716156,0.6464239358901978,0.6469077467918396,0.656180739402771,0.660775363445282,0.6519767045974731,0.6497337818145752,0.6540164351463318,0.6278206706047058,0.6359348893165588,0.6402902007102966,0.6486620903015137,0.6335935592651367,0.6428514719009399,0.6700730323791504,0.6499065160751343,0.6343531608581543,0.6228138208389282,0.627413809299469,0.6453933715820312,0.6204040050506592,0.6633808612823486,0.6383306980133057,0.6439382433891296,0.6619545221328735,0.6666644811630249,0.6690818071365356,0.669192910194397,0.6389406323432922,0.6792880892753601,0.6644983887672424,0.617753803730011,0.6317222714424133,0.6366491317749023,0.6602001786231995
