,loss,accuracy,training_iteration,config/h1,config/h2,config/h3,config/lr,config/weight_decay,logdir
25,0.0006596180762367,0.899770114942529,50,12,16,16,0.0606277147854688,1.58739006084856E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00025_25_h1=12,h2=16,h3=16,lr=0.0606,weight_decay=0.0000_2023-03-01_10-33-31"
59,0.0007883411851422,0.897931034482759,50,64,32,16,0.028816633901553,1.72554047484339E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00059_59_h1=64,h2=32,h3=16,lr=0.0288,weight_decay=0.0000_2023-03-01_10-36-41"
34,0.0007262955588855,0.897471264367816,50,16,64,64,0.0324216268344474,4.83259547479596E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00034_34_h1=16,h2=64,h3=64,lr=0.0324,weight_decay=0.0000_2023-03-01_10-34-33"
40,0.0006042759514403,0.897011494252874,50,64,32,0,0.00176968381106748,1.9457988953425E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00040_40_h1=64,h2=32,h3=0,lr=0.0018,weight_decay=0.0000_2023-03-01_10-34-50"
47,0.0006355270161025,0.897011494252874,50,64,64,0,0.00419135470318357,0.000167202883483701,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00047_47_h1=64,h2=64,h3=0,lr=0.0042,weight_decay=0.0002_2023-03-01_10-34-53"
55,0.0006658738371969,0.895632183908046,50,32,32,128,0.00345667888735413,1.92576158350967E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00055_55_h1=32,h2=32,h3=128,lr=0.0035,weight_decay=0.0000_2023-03-01_10-36-25"
56,0.0006302306569855,0.895632183908046,50,16,12,64,0.00152362533367232,0.000124834008718732,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00056_56_h1=16,h2=12,h3=64,lr=0.0015,weight_decay=0.0001_2023-03-01_10-36-26"
16,0.0007984063543122,0.893793103448276,50,32,0,0,0.00837322939117753,0.000141423107885666,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00016_16_h1=32,h2=0,h3=0,lr=0.0084,weight_decay=0.0001_2023-03-01_10-33-14"
6,0.0006385457652738,0.893333333333333,50,12,32,0,0.00675617932933853,9.42926238555202E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00006_6_h1=12,h2=32,h3=0,lr=0.0068,weight_decay=0.0001_2023-03-01_10-31-41"
21,0.0008651481414663,0.888275862068965,50,32,16,0,0.0426231119515681,3.75162204972297E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00021_21_h1=32,h2=16,h3=0,lr=0.0426,weight_decay=0.0000_2023-03-01_10-33-29"
4,0.0009731601709607,0.886436781609195,50,64,16,16,0.0351949591882646,9.56311531836295E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00004_4_h1=64,h2=16,h3=16,lr=0.0352,weight_decay=0.0000_2023-03-01_10-31-41"
7,0.0007734599469722,0.88367816091954,50,8,12,16,0.0755414273923352,6.59191703532395E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00007_7_h1=8,h2=12,h3=16,lr=0.0755,weight_decay=0.0000_2023-03-01_10-31-41"
20,0.0006597034410498,0.88367816091954,50,12,0,128,0.000781731123526279,0.00081787435750665,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00020_20_h1=12,h2=0,h3=128,lr=0.0008,weight_decay=0.0008_2023-03-01_10-33-28"
67,0.0006577611791676,0.882758620689655,50,64,16,64,0.00122507030908049,8.98784067798212E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00067_67_h1=64,h2=16,h3=64,lr=0.0012,weight_decay=0.0000_2023-03-01_10-37-57"
49,0.0007336600621541,0.875862068965517,50,32,12,32,0.00101185075795204,1.11155259440734E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00049_49_h1=32,h2=12,h3=32,lr=0.0010,weight_decay=0.0000_2023-03-01_10-36-07"
65,0.0007463975336359,0.868965517241379,50,32,16,32,0.00128057338532237,0.000655981629528488,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00065_65_h1=32,h2=16,h3=32,lr=0.0013,weight_decay=0.0007_2023-03-01_10-37-53"
14,0.0007323021450261,0.861609195402299,50,64,32,128,0.000547576499853169,6.8648469328906E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00014_14_h1=64,h2=32,h3=128,lr=0.0005,weight_decay=0.0000_2023-03-01_10-31-41"
2,0.0008813766501415,0.860689655172414,50,32,64,64,0.0248410310528454,0.000213175057809121,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00002_2_h1=32,h2=64,h3=64,lr=0.0248,weight_decay=0.0002_2023-03-01_10-31-41"
62,0.0007461009354426,0.858390804597701,50,12,0,128,0.00127248711001571,1.96461576418834E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00062_62_h1=12,h2=0,h3=128,lr=0.0013,weight_decay=0.0000_2023-03-01_10-36-51"
23,0.0008329200607606,0.857471264367816,50,32,64,32,0.000582949036921047,1.33280183513243E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00023_23_h1=32,h2=64,h3=32,lr=0.0006,weight_decay=0.0000_2023-03-01_10-33-31"
22,0.0007450069230178,0.857011494252874,50,12,16,128,0.000936262679508122,0.000572897403037245,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00022_22_h1=12,h2=16,h3=128,lr=0.0009,weight_decay=0.0006_2023-03-01_10-33-31"
63,0.0008151899261036,0.852413793103448,50,32,0,16,0.00343041954571131,5.91895204652628E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00063_63_h1=32,h2=0,h3=16,lr=0.0034,weight_decay=0.0000_2023-03-01_10-36-54"
8,0.0008286662485407,0.851954022988506,50,32,12,128,0.000335961291623822,9.69889923428171E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00008_8_h1=32,h2=12,h3=128,lr=0.0003,weight_decay=0.0001_2023-03-01_10-31-41"
58,0.0007637353053038,0.851494252873563,50,12,64,64,0.00192047886898998,2.52749883081045E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00058_58_h1=12,h2=64,h3=64,lr=0.0019,weight_decay=0.0000_2023-03-01_10-36-41"
51,0.0008050593562509,0.851034482758621,50,64,12,128,0.000318385433903102,8.55769359195456E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00051_51_h1=64,h2=12,h3=128,lr=0.0003,weight_decay=0.0000_2023-03-01_10-36-09"
76,0.000836955678874,0.849655172413793,50,12,12,128,0.00043009465042519,1.9602532724529E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00076_76_h1=12,h2=12,h3=128,lr=0.0004,weight_decay=0.0000_2023-03-01_10-38-22"
78,0.0008474008516333,0.848735632183908,50,32,0,128,0.0923051439249433,4.59687170269292E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00078_78_h1=32,h2=0,h3=128,lr=0.0923,weight_decay=0.0000_2023-03-01_10-38-41"
84,0.0007866163500424,0.848735632183908,50,16,64,16,0.00160978973287027,2.4091723324426E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00084_84_h1=16,h2=64,h3=16,lr=0.0016,weight_decay=0.0000_2023-03-01_10-39-16"
35,0.0008080694867276,0.847816091954023,50,12,0,0,0.000579654284755906,2.17630971682645E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00035_35_h1=12,h2=0,h3=0,lr=0.0006,weight_decay=0.0000_2023-03-01_10-34-44"
32,0.0007959683051054,0.845057471264368,50,8,32,16,0.00394412154825449,6.29085896911374E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00032_32_h1=8,h2=32,h3=16,lr=0.0039,weight_decay=0.0000_2023-03-01_10-34-31"
48,0.0008532545073279,0.843218390804598,50,8,16,64,0.00536132010808267,6.19422001746222E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00048_48_h1=8,h2=16,h3=64,lr=0.0054,weight_decay=0.0000_2023-03-01_10-36-03"
91,0.0007978462624823,0.843218390804598,50,8,32,64,0.00435995236299279,1.27018987075176E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00091_91_h1=8,h2=32,h3=64,lr=0.0044,weight_decay=0.0000_2023-03-01_10-39-39"
12,0.0008615220004114,0.84183908045977,50,12,64,0,0.000360118572915355,5.11835359413341E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00012_12_h1=12,h2=64,h3=0,lr=0.0004,weight_decay=0.0001_2023-03-01_10-31-41"
