,loss,accuracy,training_iteration,config/h1,config/h2,config/h3,config/lr,config/weight_decay,logdir
17,0.0016098997236668,0.48,50,12,64,32,1.65542235165585E-05,0.00013860907610375,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00017_17_h1=12,h2=64,h3=32,lr=0.0000,weight_decay=0.0001_2023-03-01_10-33-15"
42,0.0016105176388532,0.48,50,8,32,32,2.7288409257537E-06,0.000452411960251634,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00042_42_h1=8,h2=32,h3=32,lr=0.0000,weight_decay=0.0005_2023-03-01_10-34-52"
43,0.0016058521161134,0.48,50,64,32,16,1.31251251811867E-05,3.86090535426717E-07,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00043_43_h1=64,h2=32,h3=16,lr=0.0000,weight_decay=0.0000_2023-03-01_10-34-52"
46,0.0016323786768419,0.48,50,32,16,0,1.68465279281011E-06,0.000155429382835526,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00046_46_h1=32,h2=16,h3=0,lr=0.0000,weight_decay=0.0002_2023-03-01_10-34-53"
61,0.0016015259150801,0.48,50,16,64,128,5.71516962063169E-06,1.52986397274117E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00061_61_h1=16,h2=64,h3=128,lr=0.0000,weight_decay=0.0000_2023-03-01_10-36-48"
66,0.0015998374182602,0.48,50,12,64,16,1.2255290397658E-06,6.27255695103935E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00066_66_h1=12,h2=64,h3=16,lr=0.0000,weight_decay=0.0000_2023-03-01_10-37-55"
71,0.001663941953374,0.48,50,32,16,0,1.87246872398159E-06,1.03026727433631E-08,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00071_71_h1=32,h2=16,h3=0,lr=0.0000,weight_decay=0.0000_2023-03-01_10-38-09"
72,0.0016051800771691,0.48,50,32,32,16,1.12450768510476E-06,2.05287864614489E-05,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00072_72_h1=32,h2=32,h3=16,lr=0.0000,weight_decay=0.0000_2023-03-01_10-38-12"
77,0.0015935062814032,0.48,50,64,16,32,7.03663472691641E-06,1.5762982538571E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00077_77_h1=64,h2=16,h3=32,lr=0.0000,weight_decay=0.0000_2023-03-01_10-38-29"
87,0.0016398984810401,0.48,50,8,32,32,1.65708667988702E-05,3.07782229302647E-06,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00087_87_h1=8,h2=32,h3=32,lr=0.0000,weight_decay=0.0000_2023-03-01_10-39-27"
30,0.001602182223879,0.470344827586207,50,12,0,0,5.41959851388474E-06,0.000154814084095188,"/home/werner/al-benchmark/runs/Splice/evaluate_config_2023-03-01_10-31-37/evaluate_config_dd2d5_00030_30_h1=12,h2=0,h3=0,lr=0.0000,weight_decay=0.0002_2023-03-01_10-33-35"
