loss,accuracy,training_iteration,config/h1,config/h2,config/h3,config/lr,config/weight_decay
0.0004293325327299,0.940134907251265,50,64,32,16,0.00143632682909943,0.000435621468411346
0.0004449153529451,0.940134907251265,50,32,32,16,0.00164076592517225,2.71530947229123E-07
0.0007927965052413,0.938448566610455,50,32,16,128,0.077652366912235,1.21796464225081E-08
0.0004339333227874,0.937605396290051,50,12,16,16,0.00932635603858519,0.000600217448102165
0.0004360180655981,0.935075885328836,50,32,32,32,0.00124485514621307,2.36010808667006E-05
0.0005112952014045,0.934232715008432,50,64,64,128,0.0017311979427534,0.000182627767860578
0.0006138014326007,0.933389544688027,50,64,32,64,0.00297345103442829,9.88627693077333E-07
0.0004292645100598,0.931703204047218,50,12,64,128,0.00104765259064084,2.13790749492815E-07
0.0004546509122768,0.930860033726813,50,12,0,32,0.00165928708661672,0.000847469136861687
0.0004769633657614,0.930860033726813,50,12,64,64,0.00158703532945929,8.57843446184137E-08
0.0008199087157217,0.930016863406408,50,12,16,32,0.018114120326274,1.67119638568941E-07
0.0005065155974125,0.930016863406408,50,64,32,16,0.00347825594045438,5.21166296916892E-05
0.0007141969758784,0.930016863406408,50,16,12,32,0.0263433563433587,9.61684726104662E-08
0.0004861010442696,0.929173693086003,50,16,32,32,0.00087114022282587,0.000133266561014364
0.0008156396586818,0.929173693086003,50,12,64,0,0.00485002733126928,1.68959791797214E-05
0.000498347311056,0.929173693086003,50,64,12,64,0.0013326090011761,3.79713959574918E-06
0.0012731711940861,0.929173693086003,50,12,16,32,0.070128604414066,2.52300336189557E-08
0.0006260204350365,0.928330522765599,50,32,0,32,0.00368842942925676,7.92095920107217E-08
0.0009836491957482,0.928330522765599,50,32,32,64,0.0729052256471337,8.32576184289262E-07
0.0005544262481178,0.928330522765599,50,8,64,64,0.00238259013416306,6.00862291160632E-06
0.0007318478536243,0.928330522765599,50,32,32,64,0.00598986411396065,4.35584346405559E-06
0.0006983293374312,0.927487352445194,50,64,12,0,0.00708484000074159,4.89146613426477E-07
0.0008715652243483,0.927487352445194,50,16,64,0,0.00529603915358574,2.80489510595195E-07
0.000747359145753,0.926644182124789,50,64,16,32,0.0105800714212939,1.08087801461144E-07
0.000549560038979,0.926644182124789,50,64,0,64,0.000280477479788994,2.89738673844402E-06
0.0007385632013792,0.925801011804384,50,64,12,16,0.0116296729656847,2.37534210909672E-06
0.0006704072626606,0.925801011804384,50,12,16,128,0.00745961949590062,0.000446680861355868
0.0006182595308474,0.92495784148398,50,16,64,0,0.00182665166783188,2.24862505654436E-05
0.0009088926331389,0.92495784148398,50,64,12,64,0.0256217014065803,5.58835795447523E-08
0.0005848564546787,0.922428330522766,50,32,12,16,0.000549858672874933,6.03234482148301E-06
0.0006126376468857,0.920741989881956,50,8,12,64,0.00425019232574499,0.000129564979927749
0.0011162483219754,0.917369308600337,50,8,0,16,0.0831565073560916,1.01726602570909E-05
0.0010708052834612,0.917369308600337,50,12,64,0,0.0445695277621344,8.25850027408714E-08
0.000889211164357,0.916526138279933,50,64,12,0,0.00022937032194643,1.87463266046557E-05
0.000615831232091,0.915682967959528,50,12,32,128,0.000362961783891195,6.25248293298907E-07
0.0007383089141942,0.915682967959528,50,8,64,32,0.000521369397073601,6.77648974242049E-06
0.0011587815381222,0.913153456998314,50,12,0,32,0.0856858247425223,3.47989661444854E-08
0.0007361097239322,0.912310286677909,50,8,0,16,0.000887476197134001,7.2981666777307E-05
0.000790020240499,0.911467116357504,50,8,32,16,0.0467099993684825,3.78947753202096E-05
0.0006401727563414,0.904721753794266,50,16,64,64,0.0923729287769101,0.000685031967410229
0.0006129950988554,0.903878583473862,50,64,64,16,0.0400129759974193,0.000146340820862961
0.0009221276786636,0.865092748735245,50,12,32,32,0.073758135272078,9.18750382177731E-05
0.0012687177571639,0.854131534569983,50,16,32,0,0.000234078509948439,5.95651939750439E-07
0.0013536549036659,0.788364249578415,50,12,16,0,0.000294771636481704,1.49065599490189E-06
0.001668223743696,0.725126475548061,50,64,32,128,9.63516411838691E-05,0.000266745024708464
0.0018661644366298,0.714165261382799,50,64,16,64,8.89221401369498E-05,1.04000861919989E-07
0.0017022395013355,0.71079258010118,50,16,0,64,0.0950632880723282,4.66093830345049E-08
0.0017799852167776,0.659359190556492,50,32,64,0,8.44352086493263E-05,4.69910278124015E-08
0.0021012297267656,0.647554806070826,50,16,32,0,8.83498111166062E-05,2.23101886587965E-07
0.0020848388012504,0.6070826306914,50,16,32,0,8.75382894318853E-05,8.46176432286449E-06
0.0020643048000978,0.602866779089376,50,32,64,0,6.39903920617331E-05,6.76791827731208E-05
0.0027449886875249,0.597807757166948,50,16,12,16,1.4624897537162E-05,3.22834043359957E-05
0.002047336774974,0.59106239460371,50,12,0,32,0.000103391567889512,6.05364514367122E-08
0.0026404300789406,0.54637436762226,50,64,12,0,2.21402326445239E-05,3.90043678977801E-08
0.0022246037024068,0.529510961214165,50,32,12,16,0.000150453066632965,2.21672852637646E-05
0.0026107104793567,0.528667790893761,50,12,64,16,4.53070545161592E-05,1.71136688808609E-07
0.0021378445183044,0.526138279932546,50,64,0,128,3.80463537851612E-05,2.26701891246782E-07
0.0022526840737457,0.515177065767285,50,32,0,16,7.74072790701292E-05,0.000449467462164799
0.0026696966631215,0.510961214165261,50,8,0,16,3.02877917965026E-05,2.73656747382772E-06
0.0024800014134,0.508431703204047,50,64,12,16,4.56527923903612E-05,4.49074968569645E-08
0.0027573977111764,0.508431703204047,50,64,16,128,1.67242191771304E-06,0.000328791967860222
0.002498340998693,0.508431703204047,50,32,0,128,2.27047861790482E-05,0.000219691448069
0.0027303874593159,0.508431703204047,50,32,32,0,4.03285678832829E-06,0.000305033754444968
0.0023991294192624,0.508431703204047,50,12,32,0,7.14487301205219E-05,3.51658079700728E-05
0.0027328839189487,0.508431703204047,50,8,64,128,8.56339186166717E-06,6.61954599603149E-05
0.0023882375499249,0.508431703204047,50,16,0,16,4.95336226725854E-05,6.3407768192395E-07
0.0026470993662765,0.508431703204047,50,32,16,32,3.66998949495851E-05,0.000263599445088565
0.0026748562341596,0.508431703204047,50,12,0,128,6.50084715871727E-06,1.64640366358738E-08
0.0025187075942201,0.508431703204047,50,64,12,128,3.03917470957906E-05,7.27647538148294E-06
0.002674821958976,0.508431703204047,50,12,16,0,1.10868216007637E-05,2.16079084553354E-05
0.0027101294186223,0.508431703204047,50,32,12,16,1.38147689920365E-06,9.07469963768667E-06
0.0026911378509881,0.508431703204047,50,8,32,16,3.11202517539394E-05,2.11089564027776E-05
0.0027449436573716,0.508431703204047,50,64,64,64,4.61562149801821E-06,4.99842250020909E-05
0.0019941074651168,0.508431703204047,50,64,12,16,0.000136858004476728,2.56429588427374E-08
0.00273471829461,0.508431703204047,50,64,16,16,2.91653739923766E-06,4.51228045277111E-06
0.0024993343256778,0.508431703204047,50,8,16,32,0.0001005970194194,1.51504065173966E-06
0.0026118123109183,0.508431703204047,50,64,16,0,2.00755556077159E-05,0.000660965188014828
0.0023728713116798,0.508431703204047,50,8,12,128,5.8664644008058E-05,4.66961185231722E-08
0.0027028288045178,0.508431703204047,50,64,64,32,4.55500708342665E-06,1.44916301741489E-08
0.0023527101662267,0.508431703204047,50,8,64,128,6.0065115279838E-05,1.62145439600838E-06
0.0027303072493554,0.508431703204047,50,16,64,32,4.31462460988016E-06,1.03046278478281E-08
0.002725184566858,0.435075885328836,50,16,0,64,1.75257434090746E-05,1.64375790075833E-06
0.0027377090807909,0.313659359190556,50,64,0,0,4.61905387562922E-06,1.49131687788205E-05
0.0027758998774356,0.305227655986509,50,32,0,64,2.54119824244268E-06,0.000139839847845076
0.0027826342976716,0.27150084317032,50,12,64,16,3.0183636075549E-05,7.29334807034662E-07
0.0027931336608745,0.262225969645868,50,32,0,64,3.03495661619212E-06,7.01367826023085E-06
0.0028118581635151,0.260539629005059,50,16,32,16,6.09103193434867E-06,2.21361004156525E-06
0.0027574629445904,0.255480607082631,50,32,12,64,5.99762726109341E-06,7.77850464354061E-08
0.0027929380611464,0.255480607082631,50,64,64,128,3.96449680699895E-06,1.75399369270251E-05
0.0028533076154441,0.255480607082631,50,8,64,0,1.3432729659409E-06,1.21892555918273E-08
0.0028333844865152,0.255480607082631,50,32,0,16,6.00481940284867E-06,4.46726641357142E-07
0.002906054811172,0.255480607082631,50,32,0,16,1.08970965005518E-06,7.24337805894787E-08
0.0027590698576697,0.255480607082631,50,12,12,16,2.0657860385327E-06,4.95745407903679E-07
0.0027626666411581,0.239460370994941,50,64,0,16,1.88458112805482E-05,6.91193408229461E-08
