,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,9.688981890678406,6.169299960136414,7.377208948135376,108.04871559143066,7.746337413787842,6.3137887716293335,1088.7647705078125,54186.2197265625,8.747062802314758,6.855825781822205,8.544774413108826,10.252585649490356,8.45293939113617,9.777683019638062,8.000376224517822,102.1402473449707,10.445937156677246,8.271194458007812,9.319527983665466,7.715929269790649,7.768095731735229,75.62177848815918,103.7853660583496,8.589663743972778,954.0166778564452,15.399375200271606,9.033506035804749,8.467642784118652,9.851692914962769,9.173643112182615,53.88458251953125,7.005594253540039,111.34062576293944,35.70434093475342,8.955105066299438,8.782372951507568,24.330026626586918,44.07935810089111,8.648018956184387,9.15447759628296,242.7780876159668,7.83067262172699,8.850823402404785,9.0326429605484,24.05838394165039,7.471282243728638,7.041812777519226,7.12486743927002,4010.454040527344,28.596338748931885
41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,261.9119453430176,28.291343688964844,7.340343236923218,7.937070965766907,121.41828727722168,87.95554733276367,5.270407199859619,9.008278012275696,8.294585108757019,12.419772624969482,194.7058982849121,5316.49755859375,8.067683219909668,244.81954193115237,6.659795165061951,7.18290102481842,59.80814266204834,7145.1427001953125,8.03865396976471,2119.8313903808594,442.2565536499024,7.502015829086304,9.011010766029358,265.85009002685547,9.135435819625854,8.368715763092041,6.807135343551636,623.688102722168,205.5933952331543,48173.9560546875,7.17487895488739,100.77442169189452,10.016550421714784,7.774954557418823,803.1092987060547,15.619356155395508,6.936908960342407,47.88939189910889,12.634408235549929,65.95183563232422,8.690903902053833,45.08119773864746,7.751356720924377,199.04825592041016,5.158126711845398,7.028443574905396,79.55744361877441,33.15695762634277,9.982500672340391,7.920151710510254
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,7.438106417655945,6.099974751472473,6481.4534912109375,6.56267774105072,6.96804416179657,252.8843879699707,5.477143287658691,9.015037775039673,8978.969360351562,19.91142249107361,7.036719918251038,6.697366237640381,65891.1025390625,8.023104071617126,15.971671104431152,8.5641587972641,7.51038658618927,8.08778464794159,6.804948925971985,5.2353731989860535,5.709750771522522,1565.56884765625,60.625465393066406,6.2268146276474,6.657617568969727,10.586533546447754,1083.4629516601562,7.345585227012634,7.288643002510071,7.328885912895203,5585.0989990234375,6.519562363624573,7.4627320766448975,32.04413843154907,7.14724862575531,8.536396145820618,11448.05908203125,7.441216826438904,7.543835997581482,9.840076208114624,7.739399194717407,6.035270571708679,469.66204833984375,7.728214144706726,59.669830322265625,92.89881896972656,6.159767508506775,9.151427507400513,7.796917915344238,70.4342851638794
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,7.406969904899597,5.538312673568726,4.013910531997681,6.303458094596863,7.984759449958801,6.748194456100464,5.081356048583984,9.12917935848236,5.311815679073334,5.005486249923706,6.500244498252869,5.124162435531616,4.355746269226074,13.576467752456663,7.010839104652405,7.611557960510254,5.549447178840637,7.687041759490967,7.587404727935791,4.9034974575042725,5.029185593128204,25.018549919128414,7.225295543670654,5.512099981307983,6.674059867858887,7.160099267959595,18.36399269104004,42.04631328582764,6.94033420085907,8.554082870483398,3.85013484954834,5.6699265241622925,5.58265483379364,297.32577896118164,6.908951282501221,7.741859793663025,5.778780579566956,2108.3441772460938,36.72014379501343,9.439122080802916,6.144106864929199,5.487910389900208,6.701852560043335,9.377098202705383,5.021354675292969,5.4558263421058655,7.261596798896789,9.576120376586914,7.242762804031372,6.098412036895752
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,392.8039321899414,5.034705817699432,4.339190661907196,5.37781286239624,6.420347452163696,9.863496661186218,4.293185710906982,8.331291437149048,4.899315655231476,5.400235533714294,6.270548582077026,7.752417206764221,5.002920210361481,6.56038498878479,6.697969436645508,9.684085726737976,43.0698766708374,6.983676910400391,6.588017582893372,4.61301976442337,5.602210521697998,7.028838872909546,6.2817223072052,5.718331575393677,5.22519838809967,6.3044925928115845,6.300201177597046,5.585994601249695,5.62415611743927,5.3424301743507385,4.1910388469696045,120.3813362121582,5.858323931694031,6.857616901397705,6.1771780252456665,13.293481826782228,5.698962330818176,6.134426116943359,4.708025813102722,7.332734227180481,5.267838954925537,4.894366025924683,8.214698076248169,30.199315547943115,5.92287027835846,5.321524500846863,4.976256191730499,5.970451712608337,6.206870317459106,8.383055686950684
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,6.586706280708313,4.717365264892578,3.4855127334594727,4.858595311641693,33.77683639526367,5.763386130332947,4.32869827747345,8.806689143180847,4.228666365146637,22.80700969696045,6.558595538139343,4.080455660820007,5.499569237232208,6.864567279815674,9.80475401878357,9.170834064483644,5.985553860664368,6.626430630683899,9.464460134506226,4.382308065891266,15.76041579246521,6.533406496047974,6.040135025978088,4.550581514835358,3.978788375854492,15.337800979614258,6.65692937374115,5.5282299518585205,5.554696023464203,8.264318943023682,5.428746938705444,6.323137521743774,82.03661060333252,7.376532435417175,5.96340274810791,6.025094270706177,5.4051432609558105,8.255083441734314,5.451020240783691,10.310697078704834,4.930714726448059,4.68909877538681,7.205736875534058,6.184435844421387,3.869186162948608,4.990950524806976,150.6699275970459,6.035759091377258,5.429709911346436,5.099844515323639
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,6.366654276847839,4.769954085350037,4.298826336860657,7.77349591255188,4.670239090919495,5.393322587013245,4.432952463626862,7.36241602897644,4.496529638767242,3.688235461711884,13.235290050506592,3.1127111315727234,8.847544550895691,6.492297410964966,329.20781326293945,19.21291875839233,5.213272929191589,10.487140536308289,4.551311612129211,5.748100876808167,4.804516315460205,5.444373726844788,5.738640189170837,6.61296021938324,4.076342701911926,15.488459825515749,6.5610164403915405,4.561971008777618,7.916582703590393,4.240115404129028,3.904035270214081,8.03020441532135,308.4384956359863,6.402535915374756,5.154125809669495,73.11363220214844,5.716375827789307,5.1690205335617065,4.003232300281525,33.450830936431885,5.173403799533844,3.650955319404602,6.788416504859924,5.423445224761963,3.5559993386268616,6.027223229408264,5.449366807937622,43.831668853759766,5.301922261714935,167.7760829925537
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5.910019636154175,5.682734727859497,3.6674128770828247,5.114796698093414,4.848206162452698,5.238848507404327,4.447169184684753,7.800778865814209,3.698574841022492,3.812892973423004,5.652315616607666,3.866196751594544,2.9068107306957245,5.702950119972229,3.966823518276215,5.217126309871674,5.400543689727783,10.784508228302002,4.24043995141983,3.908743679523468,6.197460055351257,4.012015223503113,15.873624563217165,4.487348794937134,4.2683868408203125,6.0576331615448,7.339187979698181,5.879662990570068,10.613893985748293,4.846677541732788,11.771387577056885,5.801083087921143,4.137365877628326,5.965984106063843,5.869186758995056,3.9942981004714966,37.788973808288574,8.60445511341095,3.668054163455963,5.870014667510986,4.084350526332855,1119.7850646972656,4.721098005771637,5.207610785961151,3.8706343173980713,5.127907156944275,6.458673596382141,4.33133989572525,5.622960567474365,3.901247680187225
111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,6.330754995346069,3.4859249591827397,3.3011133670806885,4.417563855648041,3.7844512462615967,4.3869205713272095,3.4648160338401794,6.4371737241745,3.114360123872757,3.2273855209350586,4.913855016231537,2.954587072134018,2.2951416671276093,5.1144503355026245,3.54254812002182,4.780179262161255,4.030120551586151,5.073568522930145,4.021038293838501,3.194330930709839,4.461323440074921,4.002011954784393,4.210360586643219,4.252678871154785,3.763296902179718,5.3640395402908325,5.66338849067688,4.088991940021515,3.528850495815277,3.4186612367630005,2.4798253774642944,5.088187575340271,5.024121344089508,5.336073637008667,4.631540298461914,3.6277684569358826,4.128139436244965,4.455939769744873,3.224349617958069,5.750544309616089,47.214877128601074,3.467064619064331,4.276441276073456,4.21083801984787,2.858098924160004,5.319472908973694,4.242051541805267,4.021032631397247,4.935340881347656,3.5016480088233948
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
